"FirstName","LastName","Subject1","Subject2","Subject3","Subject4","Subject5","AverageMarks"
"GOjVamWxkj","kL02o","94","66","89","55","68","74"
"CpL1o3p60G","AKDD0","60","40","94","70","27","58"
"yCXpig63QX","zcmnU","17","71","50","23","25","37"
"MADKOWY1LX","X7gkC","17","97","81","27","57","55"
"xNPFSlUUFK","W0CoA","10","34","21","6","21","18"
"NQIJoknsIc","ahHHG","9","42","29","72","30","36"
"XEfsyAr27W","Bi5U4","97","59","69","57","12","58"
"gUP8QHaaZq","NPaD7","47","76","37","38","45","48"
"pGXcPGc4GX","RLBEG","50","54","48","52","82","57"
"9EfXpdgDVq","qdhPT","95","50","15","38","26","44"
"C5boNqRb1s","FBxGP","41","29","79","96","80","65"
"vb5Jv2lsCe","7W5Wn","51","0","75","48","81","51"
"utlZYZoQHs","MdsKx","78","88","86","55","95","80"
"cU5TVzgEAJ","cN3a4","33","89","67","70","8","53"
"sA9DKBseee","6KUXx","14","51","56","7","64","38"
"K9isq0Afzy","3XGVy","6","94","36","17","99","50"
"A0QiOuAkkA","Tea1z","68","68","57","56","61","62"
"lVUaEBe1YH","xBxMe","79","36","50","47","51","52"
"eoKXXPMV2H","k5kVW","74","90","96","37","29","65"
"tOS1GJF3ky","ZEiOp","42","98","95","35","10","56"
"yxmJNIUXqO","ZhUHo","84","96","32","62","28","60"
"E9z4s6Wc7d","2Ga9j","9","72","58","53","90","56"
"y3Lqb3k36f","58CL1","61","22","66","18","29","39"
"lZi3NRS1uk","Avmgp","17","69","34","13","37","34"
"S2GX4B46mG","vYp4u","46","18","58","60","76","51"
"fezG7KTs4O","T6Rdg","59","56","36","83","60","58"
"zAbUaexi5s","2NKK9","98","35","71","50","80","66"
"0oj5ZosFye","rZq4r","78","10","86","78","15","53"
"33hHcLbQqL","fLr9t","21","23","21","16","43","24"
"nuyNrWajSG","3dW9q","50","100","14","96","35","59"
"ENSLGpaqiu","6dXMa","43","81","85","74","5","57"
"CbfVXqyGzh","oxYMr","20","33","9","41","34","27"
"29gQ24t8Bj","1sPPG","1","7","6","90","60","32"
"1i7Jy3PeGZ","2hBDM","68","58","80","61","30","59"
"pqYg3F7gfy","8xpZ0","53","22","93","5","6","35"
"tVZy77Ccl0","ulP4R","34","61","31","85","62","54"
"z6hKzpBgh6","UMxpg","13","70","90","43","10","45"
"4bBPu0nZl1","XVTSj","24","25","61","42","4","31"
"N9cfX6A0kD","jVjT1","96","29","93","66","94","75"
"ddbPlJtPem","FbzhH","60","56","26","6","96","48"
"DAtN6SyFFJ","qJuYA","2","74","14","64","94","49"
"9MfYZ4Hfdq","9U3eq","71","50","50","73","29","54"
"BnYkAVFjff","RPZkQ","81","75","19","73","38","57"
"6I4o6USko8","WIhsB","16","99","56","88","96","71"
"HBx0hRnSPc","r4qK7","61","33","12","78","37","44"
"3ejCqtXMuk","1Drrh","4","38","40","74","51","41"
"274s0otPDn","vr5dd","33","75","20","30","98","51"
"RFoBdVt7Ug","vTnCv","43","82","48","23","56","50"
"8rC4oSr9t6","WzdyH","24","67","11","87","93","56"
"KSzW0RlTHG","s9Qoh","18","1","97","58","23","39"
"Eyp5iNrioq","nbQ32","87","20","51","70","57","57"
"M15sSdCg8S","jZWBf","22","58","45","68","48","48"
"otziGbjZFS","kjufb","11","86","76","78","83","66"
"S4DDjvrEEi","BNkLD","45","73","43","84","33","55"
"jzmvqzhhpt","rGx0x","24","73","35","5","39","35"
"b03KoYhl91","dFP4N","11","3","75","50","3","28"
"l8T2LZsjRI","VTL3z","35","40","42","71","40","45"
"8fUAQMq3Gg","V9t0E","42","71","92","93","97","79"
"F8ZY2a7sMx","oxQ7D","31","36","27","29","34","31"
"g5E6aPZTec","6uu7o","44","38","3","3","72","32"
"q7ZZaJrN3G","ODz4s","55","94","85","41","91","73"
"VtchZXcdp2","U2hdA","78","46","69","91","52","67"
"rESS8fhlgZ","jLFNt","99","95","52","20","1","53"
"dEhdgFKBrK","lOH3r","55","55","6","58","18","38"
"WHg10EXsqi","UxoB1","2","75","78","71","31","51"
"QUVd1s2quF","0AcoZ","56","52","4","18","10","28"
"tX6KyAfRK7","BYxu7","43","31","47","2","83","41"
"J1JavK58oH","cMzMd","75","11","24","52","97","51"
"50oTAEeMOo","jsAHg","46","41","88","73","51","59"
"zQ6Qzxi993","185Av","37","20","5","66","20","29"
"qABni8g3xR","C1DSj","70","11","69","4","96","50"
"R7sBWD8OYM","xQOcb","38","28","30","12","52","32"
"fKupnrxUNB","11NsK","29","25","59","56","48","43"
"CHSF23I4Df","WI6jp","1","50","94","78","77","60"
"7oBFH14TEs","LMtMz","59","47","17","79","35","47"
"fpWeIBBDkL","Bzjyo","63","51","92","45","14","53"
"3CvyOMPjEL","RzFDN","48","96","33","56","88","64"
"izPMt8ARpy","7VH8k","9","95","34","95","50","56"
"VDEzvIo7gE","9150d","90","17","21","20","54","40"
"HFGhIRXtMX","6zIro","53","17","34","96","15","43"
"soo1mayNUg","BT0QX","7","94","61","1","59","44"
"OKMDtDGbqR","0zpd1","3","80","23","94","60","52"
"nmAUHRu7Nr","NDTSS","88","86","29","37","54","58"
"VPh0h9xu05","i4qY8","68","89","6","20","89","54"
"OBDIEDGBHl","Ji9f3","6","91","48","59","69","54"
"iKrdxt2mRR","3JN86","5","7","65","59","65","40"
"5g7cgxpYjC","jU1lL","22","62","75","29","50","47"
"3StePiLD8f","kuJBs","5","88","46","36","4","35"
"SGpHETL9MW","Y2PQt","7","21","89","2","41","32"
"5lCohYkc3i","hq9OQ","59","92","10","57","4","44"
"LOshI8ooDM","e6ucr","3","64","48","17","57","37"
"YGU6q3ht8j","EzcOC","63","97","38","69","85","70"
"Tah3YIkMiT","Be9Y2","39","34","40","65","45","44"
"573MnTnz9e","3Vps3","62","84","90","40","44","64"
"yJo6AxWYD0","I8IDz","50","22","30","76","37","43"
"oOYHqPl78r","Fxe0e","13","69","93","82","46","60"
"xYodluh6iz","CniL2","79","15","86","17","33","46"
"aZ1FdxZ4Ci","qtUQQ","49","24","95","50","88","61"
"C9qaC44bfl","TqJWT","54","90","42","18","76","56"
"8snV2TWnXZ","z0YNu","48","92","97","13","31","56"
"MNac3azlYJ","CW9B2","65","41","27","26","9","33"
"Fgvy7tYBsT","MM1tF","62","91","67","57","84","72"
"LGzcZFbOPz","Ob0Dj","0","89","58","93","19","51"
"KdYiLke3Do","gNdBI","43","72","94","82","65","71"
"1MEmAjRot1","xRBzG","94","92","81","37","3","61"
"3I3JGBMNFA","UP088","72","72","30","93","98","73"
"zgWA7P663X","JrWCe","4","65","26","20","34","29"
"r3XV3tOAbK","seNNU","92","67","36","8","100","60"
"M6gXevDNMx","Z0XXh","44","97","91","43","83","71"
"D4lmfpSxUc","xxAg8","86","29","26","22","86","49"
"qabOFMNg9k","8OLPU","93","82","61","45","40","64"
"B0BqEbczh8","YPY14","59","36","69","1","84","49"
"FSei559fP0","MyZEz","93","47","53","73","55","64"
"lEhQKRZfOi","gFKQF","8","92","4","8","31","28"
"9vEL0teOO8","7ScV7","1","15","37","35","53","28"
"8ji57qbVhJ","58g8m","1","47","79","66","17","42"
"c1lMJNRsOe","FkVKV","49","36","55","68","27","47"
"KmZmKybime","PGbY2","87","41","2","20","77","45"
"oWhaVLY8oG","uiFnU","23","95","57","86","5","53"
"U12OcUlN0D","eZecS","8","94","81","66","41","58"
"Isvem9DeU2","p6eR2","80","60","21","77","44","56"
"TQ6Vt5ueKC","UK62S","7","23","87","24","25","33"
"J4tHMjK2Mo","bK4Lt","63","41","26","78","83","58"
"L5lxiStVYn","GaMel","14","71","67","11","98","52"
"XczvPLxOUj","iLlK3","63","57","88","37","82","65"
"EVbFxgHUzs","8FDyg","86","52","90","22","41","58"
"zPyiSUVqpy","tachg","58","54","91","41","24","53"
"s3ufM0c6us","v4n0B","25","65","94","15","37","47"
"3OUbQWoGoT","zs7IR","23","5","64","81","31","40"
"Fiknk5tLkC","S5utR","96","41","94","85","7","64"
"BC1bmjVYdB","tdKBh","92","94","89","66","55","79"
"HbnAjxpYXg","z8QpK","17","97","35","53","97","59"
"7HnqcBUDQf","yNc8a","100","52","35","21","25","46"
"TBMv9DLLpR","TBsx9","99","29","24","12","94","51"
"fuO1jyrUz7","lXQRi","70","13","66","24","73","49"
"r6uSdf5Fb0","PaYcf","57","79","66","2","9","42"
"1X0bkxq6aa","LJeWE","93","6","54","66","59","55"
"OmZj6XqC8p","2XUDz","14","28","84","3","73","40"
"t44SgSOO5A","Wyo0G","12","83","2","41","66","40"
"OTzVL1E5Vi","GhN0K","86","31","15","88","1","44"
"0PPozDvSoe","uHY8M","47","67","67","8","59","49"
"8OxsBFitv4","KobnS","86","71","93","49","60","71"
"IqQf0WRFEq","1pFoO","83","68","6","69","93","63"
"9QoiiZT2kC","BUBMu","25","10","57","0","20","22"
"qOOAUL13D8","zm4eM","14","4","31","52","42","28"
"9eqSNxna1B","s2cWm","84","77","78","29","86","70"
"6MzQPSeC18","2hRvf","43","0","10","18","82","30"
"pup4JkuJMf","HqGHY","55","89","59","26","35","52"
"koMpyrQo47","qKXTi","42","86","64","6","21","43"
"HfrVuVjIZX","59HIf","19","18","61","44","99","48"
"Safz0o5dWy","mMY7A","51","97","44","90","4","57"
"8pakrOVjok","KMOiN","2","56","73","44","85","52"
"1ohIMiu2vR","rFief","57","54","90","17","1","43"
"HMFT18mo7J","4TJqU","85","11","2","40","7","29"
"6PB8MU6lA9","aOtAI","77","76","9","59","64","57"
"ofN3JH3Sbl","4Dn9R","9","70","89","43","90","60"
"H3ImLb3eLI","JQCAc","63","41","14","73","24","43"
"gL8Uxullyj","OD06s","94","94","34","74","38","66"
"oJKZsE6BAM","Ltno6","64","22","23","68","53","46"
"vslKJy6gGC","ULpJU","16","23","21","95","12","33"
"XraJA97TEs","QknM4","38","47","96","37","5","44"
"yDQSqybf3m","uIbq4","74","39","59","68","47","57"
"dDTM7KQgC0","p1a3x","4","51","74","68","31","45"
"Jr1pGxosgh","AQ4Rb","6","68","72","55","86","57"
"jZEWf75TOc","eijRn","51","46","46","68","13","44"
"Uzz75UpYNX","j7eVq","38","57","35","9","39","35"
"XnE4qsuT9c","TW19u","69","8","38","65","73","50"
"uhnnZllQ9o","aj6jC","84","50","7","24","81","49"
"I50HVineaR","zuirH","61","59","26","54","48","49"
"2td0Bck7h5","dfGCj","17","25","20","39","41","28"
"GNhT3adr6c","inTDf","45","87","10","19","33","38"
"1PhnhNdUFm","2ZP90","10","1","26","22","55","22"
"WQeW5r22gS","DRdqN","57","54","79","38","55","56"
"jK097C5uMS","ODPt4","72","3","13","77","87","50"
"JCBa9CrVuv","LI2yG","26","70","96","53","84","65"
"bq2tq5hWBt","Mr5UK","63","47","40","34","30","42"
"9Zr02IkgZt","kRGiP","68","17","41","67","44","47"
"6H6FXGiGUX","0Z4kd","57","93","46","46","53","59"
"QcGbrVkG1l","a8cIA","17","88","19","1","62","37"
"FablDvA5FZ","8fzIG","66","67","39","72","51","59"
"8PfJcqFps6","b0vUl","12","43","5","16","45","24"
"jQb1lyR9OM","L2Yx2","77","66","76","34","5","51"
"ejtZsTOaN1","2PmZS","86","14","93","80","3","55"
"Hrigg69o02","f5dkk","34","69","74","93","82","70"
"RxNXQsoNhr","L56Pn","26","2","65","50","58","40"
"S1jY6s1Wt2","tEz6f","89","45","28","43","0","41"
"8p5CgYTtEg","oN9t9","27","58","100","92","77","70"
"OeKA1xVlQj","Ny80j","92","23","21","51","77","52"
"Gdc0zBcVLB","NzL16","23","26","93","52","51","49"
"zVOZHVMAxU","GPlOE","96","56","43","85","96","75"
"kiNppyv4XV","ArHfh","87","8","36","53","98","56"
"mOgNF1Xbas","HPhca","6","5","71","97","88","53"
"MuKCbfdrBU","hBChO","37","68","12","93","49","51"
"ANBNmQAzgr","6VzqQ","84","20","64","64","10","48"
"ab2eq0GuVr","dSn9f","82","75","71","56","62","69"
"VRt94zqUHd","thPdj","94","97","84","4","49","65"
"lUiLupA6BP","7qHWv","94","83","8","67","68","64"
"CCdvNqdibV","cP730","57","29","35","6","1","25"
"t0ZzkValcS","aILY3","89","70","68","50","42","63"
"qhqXZ0VWBn","nJoOt","44","99","88","62","100","78"
"YGyYjZYhOA","HjAbB","68","85","21","68","46","57"
"EazMxbcnGh","akMME","15","59","44","72","92","56"
"7m6vUco2fE","zSxGU","29","96","16","67","7","43"
"pjNb2xvuJs","ZuTne","11","7","35","74","80","41"
"NoAxn5xIIM","aG6Ue","69","19","81","34","9","42"
"9Jiy4u6qeh","dm57t","24","65","71","12","100","54"
"htg0Ti0RRL","GOLgq","20","77","31","54","14","39"
"MkfWk37Hy5","CvZsX","26","92","92","37","66","62"
"N3beESHvGI","DZJZX","10","15","27","25","47","24"
"6HLPTpyeU9","lyuX9","28","11","77","22","38","35"
"sYSCXgBWqR","dyRpc","23","84","59","59","11","47"
"DYChrZEbBa","mWyEW","82","35","6","24","83","46"
"SXoUpxlDJT","WPY8S","7","53","72","82","14","45"
"pNN6NXax8G","uyckj","67","87","5","27","10","39"
"hAAtB41ruH","enaMg","57","13","53","16","16","31"
"WXTJ4NpPvX","JVDOX","25","90","95","42","49","60"
"a1YvLt5vo2","sBqbX","63","8","46","4","43","32"
"9aWIvH7YVM","cMfAm","20","56","28","64","61","45"
"PBYaKC0DTr","km5gW","12","61","58","96","13","48"
"YbieR1oxIv","4M8ST","36","89","7","98","6","47"
"1YZcRQD3Vl","srYWc","77","20","83","22","87","57"
"35EVuPCQnL","qQhhA","63","94","88","2","43","58"
"XsPvr4hafn","QbLNH","25","36","55","39","15","34"
"yCbU0fEmJn","tqqIX","10","61","19","33","77","40"
"dTlEDeo5Af","qWluH","43","24","96","80","66","61"
"4EHXPs0PCN","8sCRX","54","54","97","58","32","59"
"7Voc7VZq8y","Zfx1j","56","88","29","70","49","58"
"lmM13eHTWC","yeqCO","17","20","96","84","99","63"
"YGtyhJkQgt","0Q95y","76","14","84","9","56","47"
"3PLDDtUHSd","YYWDm","22","25","35","43","55","36"
"2kiBUgFPpB","aRKH4","26","60","87","89","8","54"
"MzXSs90s9P","A3z5l","80","50","85","90","6","62"
"5NTk87G3lz","WF8qR","16","76","35","27","65","43"
"nNc1jASUdZ","ykjGv","97","20","0","18","68","40"
"ZDfdHTmeqL","aCsR8","61","62","97","30","28","55"
"VqSXi2o5zN","KHn2t","18","55","81","29","80","52"
"O1Z2joa9Ez","yhPtn","76","38","64","12","63","50"
"YxUQsV1ao0","ZUPg8","33","48","49","69","47","49"
"Zmyq4BDzhZ","y5oHb","91","73","88","28","20","60"
"bgvZNdI4v3","xAYfo","15","23","20","26","28","22"
"1yFrPA9WLt","eoAXp","56","4","32","12","1","21"
"6uoFzSfZ4B","8uyR3","79","25","2","88","29","44"
"srsL7dleS3","VxNd4","51","50","61","23","40","45"
"Vp3bX87fCY","dTYoW","53","43","47","57","60","52"
"4R8hpD6orH","y7OYf","99","95","16","26","73","61"
"vRZRgqB2uO","Lg7Or","37","67","41","93","70","61"
"QXcv54uVe5","kXGHI","53","83","68","83","14","60"
"Ngnl6VY1IO","JSsir","63","35","5","38","79","44"
"M6HKSN12s2","daQBL","25","75","53","15","76","48"
"uCfBBNUEqY","EYCGU","79","18","54","30","47","45"
"NzWYJST5tT","LfRPc","49","40","98","70","88","69"
"ZjcnmrcWfm","ixoBJ","51","43","8","20","67","37"
"ikB623gjj5","RsNyS","3","92","33","97","10","47"
"cmqiGrJXvT","GUaaR","32","64","91","32","74","58"
"achTPdIY5F","oBkBU","57","77","25","19","44","44"
"m5ntci8bpy","KCYRq","37","27","30","57","93","48"
"60PEk0jEC1","y75FR","90","97","76","63","78","80"
"T0jmltErNt","FmIGE","39","79","59","51","76","60"
"HbWBcB7bLF","lYA3W","99","18","81","63","39","60"
"qfQJTZ3uEs","sYs1A","70","29","78","80","6","52"
"Jy6z0LVpcy","2W5FA","16","78","43","77","20","46"
"pTUcmyHSUY","iGxx4","88","60","26","42","63","55"
"oDIhSIyPGa","X06DA","82","13","73","62","11","48"
"0xOsQb41ZA","W746A","52","39","83","46","68","57"
"G8JmIjaFZE","0mgGL","46","73","39","2","56","43"
"K1BzsShDdz","OP2It","100","92","73","39","71","75"
"HnH5NEagkn","rOSq2","1","69","30","92","6","39"
"3Pt3efHFRd","7hcDe","42","21","74","2","46","37"
"ctC963UEAa","NKxVU","71","0","57","6","57","38"
"BPffXV9HLC","FCbso","3","0","37","67","94","40"
"k8XhGa0jHD","ycb6e","91","39","3","27","68","45"
"Xb2i8EShzi","fxLVp","74","58","67","10","67","55"
"7RckAydfrm","9e7gs","82","67","0","93","20","52"
"7QD6jgTN3d","6jacJ","60","42","22","43","90","51"
"Obd8uQafZy","1YdyT","80","9","83","89","55","63"
"1Ofn6Jysbo","xvQlA","41","40","42","92","23","47"
"taElZB7b4i","GWEVv","79","92","53","15","91","66"
"NWKj9WrdGB","I9Vmo","76","71","98","29","83","71"
"Te61XmRZOz","pv3lA","12","27","73","82","25","43"
"BadrkvN3oQ","jcvpZ","6","84","33","36","35","38"
"pdJJGvkXx1","5GB2P","58","5","32","17","65","35"
"fuJ0h1eXSx","DXCEF","65","46","47","62","21","48"
"qXqeHKrjQi","Imx1b","67","36","89","1","33","45"
"4XOC2Fsiyo","1fVEW","75","89","6","32","76","55"
"F34gjGmJ7N","828oj","30","75","77","52","51","57"
"oesd8UclMM","4O85N","0","29","27","35","49","28"
"ey1TsBaeXl","0jnUd","40","44","8","29","3","24"
"P9hHIrmSAQ","JlvBn","92","23","48","55","44","52"
"qudo9mzVm5","CXjWT","21","95","34","30","16","39"
"pOIahuxZHC","lPDxv","17","100","68","65","32","56"
"tZyGXg8fPU","rgjUE","24","5","38","94","22","36"
"V7tpp71il8","ohFmM","2","58","46","75","5","37"
"SJUK4NtM6t","IKxzO","8","1","70","43","82","40"
"6b4Mhher15","8XMWG","97","73","76","4","82","66"
"WsSDOfPQYM","NMlVz","60","36","46","23","94","51"
"EAhcT1SmOx","ITepl","40","11","79","33","70","46"
"O39WZpiqUn","BvrFk","31","69","78","20","8","41"
"4KyBBkrYjH","lUmcN","12","46","87","39","50","46"
"QkBJ3iSYnj","rh2ac","78","37","3","66","22","41"
"ZJDxTf7Ypd","HJHQs","77","58","95","30","55","63"
"eLCubszhBQ","t48PQ","40","9","24","64","31","33"
"d9H1X1C5NH","fYxGR","54","24","23","32","22","31"
"zeRCMNtFpJ","d24W4","5","52","90","0","57","40"
"QdOSd6YUz0","PH9Wq","91","48","6","84","77","61"
"0fN5PUOFbS","BeItj","23","63","73","6","82","49"
"c0yLMSia7A","8ddgQ","3","88","98","56","65","62"
"XTp0iRStra","jGHAe","83","40","15","6","57","40"
"fki9WSF3co","3hUer","12","76","67","99","22","55"
"aXoHtjFFP4","SBaAm","66","2","61","53","62","48"
"57aLO30WGB","grl8C","5","41","17","68","86","43"
"r19nCNFvGk","ayqKH","29","77","97","40","34","55"
"cTPUuBECsR","9TSP3","84","74","66","7","52","56"
"HQIkUnQH7L","CMIdp","91","8","53","50","5","41"
"ZNIf3VyXWa","kpk5z","82","100","39","72","50","68"
"OOEd8c6OGT","uLMM9","16","68","58","60","0","40"
"At6IJaJCoj","2GDaA","81","52","5","21","91","50"
"LEXBImvNye","A1gmD","32","69","35","33","88","51"
"Uzrk0gmWvm","gW5Fy","32","56","27","26","98","47"
"JzbxRmctgc","jJ2Bz","7","100","84","56","97","68"
"HqEEZhlATZ","xxh68","71","59","4","54","41","45"
"jtHKl1EPiO","kmvuV","91","53","98","0","28","54"
"CW9FOHxcdp","xkvBA","95","86","58","41","23","60"
"0143TqRqT7","WJhxg","89","94","93","31","34","68"
"ZWmL9PNpAn","XxZvJ","23","92","64","55","87","64"
"sqmDYCEu2K","P18iC","17","4","60","70","35","37"
"GImF3yGLL6","EDvdO","81","37","27","15","58","43"
"AK6DaMOmtW","5LpHV","70","4","68","97","7","49"
"74cFB2soSB","dyc3I","47","24","76","13","22","36"
"UsF8El65d1","nBshm","82","9","72","60","51","54"
"tc7Ml4sMxp","p5kfm","76","52","5","66","14","42"
"c8mkQcxPNn","0yclR","84","14","5","3","26","26"
"sXvcedfxdW","GkEzB","97","91","97","76","66","85"
"d8ezlRJak7","PetCB","74","83","67","51","30","61"
"tYyrz69rZN","gyyqq","15","77","0","98","31","44"
"PEsEzj0ibX","ALCOn","48","83","22","93","17","52"
"RMz5maUScC","CM4vZ","99","82","49","29","3","52"
"fQ2opaiWDq","ZHaBe","79","28","91","76","26","60"
"rLUUV1DmaP","eaosZ","14","4","57","64","77","43"
"MvNvALzkW2","Di2hs","25","80","78","89","41","62"
"OXHMG4jf0Q","sGBhU","41","96","96","2","17","50"
"rPa5KK5EOU","xybB2","99","28","78","88","8","60"
"VBzLx7xlKE","7PG16","91","3","73","72","62","60"
"CKjqOuhOWx","X5Rhj","52","79","61","7","84","56"
"Y8Gb7b61N9","sv0iu","92","6","47","34","41","44"
"8Cg8nQ3pdc","QWVv3","38","91","10","58","83","56"
"Bbhz2nSybs","k00XK","32","78","54","68","6","47"
"IDpix9MbXj","MBL1s","62","42","86","1","63","50"
"VpHKK5V9gY","hSp1J","73","83","33","50","1","48"
"JkopZ6BnWZ","ALNHO","34","34","14","49","52","36"
